ID;ACUSACION;ANIO_DENUNCIA;ANIO_ENTRADA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_DELITO;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;POBLACION;RURAL O URBANO;PORCENTAJE
0;NO;2010;2010;2010;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolivar;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;NO;NO;Ley 906;CARTAGENA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOLiVAR;FEMENINO;2;1057767;URBANO;0.00018908%
1;NO;2011;2011;2011;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;ADOLESCENTE 14 - 17;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
2;NO;2011;2011;2011;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;;1;8380801;URBANO;0.00001193%
3;NO;2012;2012;2012;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
4;NO;2012;2012;2012;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolivar;ACTIVO;INDAGACION;FEMINICIDIO;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;CARTAGENA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOLiVAR;FEMENINO;1;1057767;URBANO;0.00009454%
5;NO;2012;2012;2012;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolivar;ACTIVO;INDAGACION;FEMINICIDIO;JUVENTUD 18 - 28;SI;NO;NO;Ley 906;CARTAGENA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOLiVAR;FEMENINO;1;1057767;URBANO;0.00009454%
6;NO;2013;2013;2013;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;;1;8380801;URBANO;0.00001193%
7;NO;2013;2013;2013;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolivar;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;SI;NO;Ley 906;CARTAGENA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOLiVAR;;1;1057767;URBANO;0.00009454%
8;NO;2014;2014;2013;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;NO;NO;Ley 906;BUCARAMANGA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE SANTANDER;;1;528572;URBANO;0.00018919%
9;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;ADOLESCENTE 14 - 17;SI;NO;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
10;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;ADULTEZ 29 - 59;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;2;8380801;URBANO;0.00002386%
11;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;JUVENTUD 18 - 28;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
12;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;;1;8380801;URBANO;0.00001193%
13;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
14;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolivar;ACTIVO;INDAGACION;FEMINICIDIO;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;CARTAGENA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOLiVAR;FEMENINO;1;1057767;URBANO;0.00009454%
15;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolivar;ACTIVO;INDAGACION;FEMINICIDIO;ADULTEZ 29 - 59;SI;SI;NO;Ley 906;CARTAGENA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOLiVAR;FEMENINO;1;1057767;URBANO;0.00009454%
16;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolivar;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;NO;NO;Ley 906;CARTAGENA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOLiVAR;FEMENINO;2;1057767;URBANO;0.00018908%
17;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACION;FEMINICIDIO;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;SANTANDER DE QUILICHAO;Colombia;Colombia;NO;DIRECCION SECCIONAL DE CAUCA;FEMENINO;1;100681;RURAL;0.00099324%
18;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;COrdoba;ACTIVO;INDAGACION;FEMINICIDIO;JUVENTUD 18 - 28;SI;SI;NO;Ley 906;MONTELiBANO;Colombia;Colombia;NO;DIRECCION SECCIONAL DE CORDOBA;FEMENINO;1;90450;RURAL;0.00110558%
19;NO;2014;2014;2014;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ACTIVO;INDAGACION;FEMINICIDIO;INFANCIA 6 - 11;SI;SI;NO;Ley 906;SAN CARLOS DE GUAROA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE META;FEMENINO;1;11474;RURAL;0.00871536%
20;NO;2014;2014;2014;SI;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;INACTIVO;INDAGACION;FEMINICIDIO;ADULTEZ 29 - 59;NO;NO;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
21;NO;2015;2015;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
22;NO;2015;2015;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;MASCULINO;3;8380801;URBANO;0.0000358%
23;NO;2015;2015;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;JUVENTUD 18 - 28;SI;NO;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
24;NO;2015;2015;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;NO;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
25;NO;2015;2015;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;NO;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;MASCULINO;2;8380801;URBANO;0.00002386%
26;NO;2015;2015;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;5;8380801;URBANO;0.00005966%
27;NO;2015;2015;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;MASCULINO;1;8380801;URBANO;0.00001193%
28;NO;2015;2015;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;ACTIVO;JUICIO;FEMINICIDIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
29;NO;2015;2015;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;INACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;NO;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;1;8380801;URBANO;0.00001193%
30;NO;2015;2015;2015;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTA. D. C.;INACTIVO;INDAGACION;FEMINICIDIO;SIN DATO;SI;SI;NO;Ley 906;BOGOTA;Colombia;Colombia;NO;DIRECCION SECCIONAL DE BOGOTA;FEMENINO;5;8380801;URBANO;0.00005966%
